SlNo,Product,URL,Environment,TCID,TestCaseDescription,Browser,Result,Investigations,TestStartedTime,TestEndedTime,Timetakentofinish,
385,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 02:30:05 PM,2020-06-11 02:30:16 PM,00:00:11,
386,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 02:30:17 PM,2020-06-11 02:30:49 PM,00:00:32,
387,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 02:30:50 PM,2020-06-11 02:31:28 PM,00:00:38,
388,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 03:30:05 PM,2020-06-11 03:30:16 PM,00:00:11,
389,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 03:30:17 PM,2020-06-11 03:30:49 PM,00:00:32,
390,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 03:30:50 PM,2020-06-11 03:31:28 PM,00:00:38,
391,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 04:30:06 PM,2020-06-11 04:30:17 PM,00:00:11,
392,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 04:30:18 PM,2020-06-11 04:30:50 PM,00:00:32,
393,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 04:30:51 PM,2020-06-11 04:31:29 PM,00:00:38,
394,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 05:30:06 PM,2020-06-11 05:30:17 PM,00:00:11,
395,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 05:30:18 PM,2020-06-11 05:30:50 PM,00:00:32,
396,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 05:30:51 PM,2020-06-11 05:31:29 PM,00:00:38,
397,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 07:30:06 PM,2020-06-11 07:30:16 PM,00:00:10,
398,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 07:30:17 PM,2020-06-11 07:30:49 PM,00:00:32,
399,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 07:30:50 PM,2020-06-11 07:31:28 PM,00:00:38,
400,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 08:30:05 PM,2020-06-11 08:30:16 PM,00:00:11,
401,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 08:30:18 PM,2020-06-11 08:30:50 PM,00:00:32,
402,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 08:30:51 PM,2020-06-11 08:31:34 PM,00:00:43,
403,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 09:30:04 PM,2020-06-11 09:30:15 PM,00:00:11,
404,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 09:30:16 PM,2020-06-11 09:30:48 PM,00:00:32,
405,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 09:30:49 PM,2020-06-11 09:31:27 PM,00:00:38,
406,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 10:30:04 PM,2020-06-11 10:30:14 PM,00:00:10,
407,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 10:30:16 PM,2020-06-11 10:30:47 PM,00:00:31,
408,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 10:30:48 PM,2020-06-11 10:31:26 PM,00:00:38,
409,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 11:04:04 PM,2020-06-11 11:04:15 PM,00:00:11,
410,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 11:04:16 PM,2020-06-11 11:04:48 PM,00:00:32,
411,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 11:04:49 PM,2020-06-11 11:05:27 PM,00:00:38,
412,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 12:04:05 AM,2020-06-12 12:04:15 AM,00:00:10,
413,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 12:04:17 AM,2020-06-12 12:04:49 AM,00:00:32,
